Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total_for_5_years
Afghanistan,,,,,,,,,,,,,,,,,,,,268.2,199.5,185.9,191.4,198.1,1043.1
Albania,,,,,,,,,,,,,,,,,,,,178.1,132.4,130.9,144.4,180.5,766.2
Algeria,,,,,,,,,,,,,,,,,,,,9724.4,10412.7,10217.1,10073.4,9583.7,50011.3
Angola,,,,,,,,,,,,,,,,,,,,6841.9,3608.3,2764.1,3062.9,1983.6,18260.7
Argentina,,,,,,,,,,,,,,,,,,,,4979.4,5482.6,4509.6,5459.6,4145.0,24576.3
Armenia,,,,,,,,,,,,,,,,,,,,457.8,447.4,431.4,443.6,608.9,2389.0
Australia,,,,,,,,,,,,,,,,,,,,25783.7,24045.6,26382.9,27691.1,26711.8,130615.2
Austria,,,,,,,,,,,,,,,,,,,,3305.2,2665.4,2885.9,3138.4,3367.5,15362.3
Azerbaijan,,,,,,,,,,,,,,,,,,,,3427.2,2943.4,1397.0,1528.9,1708.9,11005.3
Bahrain,,,,,,,,,,,,,,,,,,,,1475.3,1442.0,1505.5,1532.7,1396.8,7352.3
Bangladesh,,,,,,,,,,,,,,,,,,,,2356.0,2815.3,3239.7,3594.0,3894.7,15899.7
Belarus,,,,,,,,,,,,,,,,,,,,1010.8,723.7,597.2,631.1,715.2,3678.0
Belgium,,,,,,,,,,,,,,,,,,,,5191.5,4202.1,4314.1,4484.7,4959.7,23152.0
Belize,,,,,,,,,,,,,,,,,,,,19.9,19.7,21.7,23.5,23.1,107.9
Benin,,,,,,,,,,,,,,,,,,,,93.0,90.9,79.6,116.1,90.2,469.8
Bolivia,,,,,,,,,,,,,,,,,,,,625.9,575.5,552.4,574.1,618.8,2946.7
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,190.4,162.2,157.9,164.6,221.1,896.3
Botswana,,,,,,,,,,,,,,,,,,,,346.3,383.7,514.5,522.4,529.5,2296.4
Brazil,,,,,,,,,,,,,,,,,,,,32659.6,24617.7,24224.7,29283.1,27766.4,138551.5
Brunei,,,,,,,,,,,,,,,,,,,,527.8,424.0,403.4,346.7,346.6,2048.5
Bulgaria,,,,,,,,,,,,,,,,,,,,835.7,660.8,755.4,824.2,1095.6,4171.7
Burkina Faso,,,,,,,,,,,,,,,,,,,,177.2,147.9,149.5,191.1,312.5,978.1
Burundi,,,,,,,,,,,,,,,,,,,,62.2,66.2,66.5,63.9,65.4,324.1
Cambodia,,,,,,,,,,,,,,,,,,,,278.0,325.2,382.1,463.8,543.2,1992.3
Cameroon,,,,,,,,,,,,,,,,,,,,401.5,353.8,387.4,408.2,429.9,1980.8
Canada,,,,,,,,,,,,,,,,,,,,17853.7,17937.6,17782.8,21343.4,21620.6,96538.1
Cape Verde,,,,,,,,,,,,,,,,,,,,10.0,8.9,10.2,9.4,10.7,49.2
Central African Rep.,,,,,,,,,,,,,,,,,,,,38.4,26.7,26.8,27.5,31.0,150.4
Chad,,,,,,,,,,,,,,,,,,,,392.4,221.0,309.6,219.1,232.9,1374.9
Chile,,,,,,,,,,,,,,,,,,,,5102.8,4630.8,4796.0,5370.0,5570.7,25470.3
China,,,,,,,,,,,,,,,,,,,,200772.2,214093.1,216031.3,227829.4,249996.9,1108722.9
Colombia,,,,,,,,,,,,,,,,,,,,11846.0,9127.2,8676.0,10018.0,10602.9,50270.0
